
#
# Data table for MegaTraveller ship generation program.
# I didn't think it would be quite this large!
#
# The basic format is:
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name
#
# key is a field of 4 hex digits.
# override is a single character field specifying if this entry overrides
#   lower TL entries for the same thing (:, +, *, ! or -).  If a + is present
#	the entry will always be returned.  If a - is present, the entry
#	is subject to being replaced by an equivalent item (same key, code)
#	that has a higher tech level.  If a * is present, it means that
#	lower TL devices of this key and code are no longer available at
#	this TL [i.e. improved but not replaced, used to specify turrets].
#	A : indicates that the given item MUST be unique over all items
#	whose keys start with the same two hex digits.  Furthermore, an
#	item of this kind MUST also have a quantity of exactly one.  Following
#	the : there will be another override field (+, * or - only) for this
#	item.  This allows for unique items that override lower TL things!
#	An override of ! means that this item defines a submenu.  This is
#	used to allow the user to choose individual items.  The fields
#	follow are somewhat different.  The next (third) field is another
#	key, that specifies what item code is in the sub-menu.  The fourth
#	optional field is the minimum TL that this thing becomes available.
#	And the name field is the message printed in the menu displayed to
#	the user.
# code is the UCP code (only codes [1-9A-Z] are to be printed, specifically
# lower case codes are NOT printed and a zero code is NOT printed)
# TL is the minimum TL to get this thing
# Pow, Vol, Wt, $ are power, volume, weight and price
# HP is the number of hardpoints used
# minVol is the minimum volume for the device
# Cp, Cp* are the control points and Cp multiplier (for computers, Cp is
# the maximum control point input)
# waste is a measure of wasted internal space (i.e. no life support)
# name is a text description of the item
#
# Every field except the key, the code and the override may be absent
# The special sequence %string causes all the remaining fields to take
# default values and the name becomes string
# a $ causes just that field to take a default value
# The fields indicated + above are either a constant quantity or
# a multiplicative quantity. (The latter is specified using a leading
# '*').
# Any real values can either be presented as a plain number or as a
# ratio of two numbers (use a '/' between them and no spaces).
#
# key override code TL Pow+ Vol+ Wt+ $+ HP minVol Cp Cp* waste+ name

0000! 1000	%Hull Section
5210- k 7 5.000 10.00 5.000 5000000	%Radar (Planetary)
5210- k 8 0.500 1.000 0.500 500000	%Radar (Planetary)
5210- k 9 0.250 0.500 0.250 250000	%Radar (Planetary)
5210- l 8 1.200 2.400 1.200 1200000	%Radar (Far Orbit)
5210- l 9 0.600 1.200 0.600 900000	%All Weather Radar (Far Orbit)
5220- f 6 0.250 0.500 0.250 375000	%All Weather Radar (Distant)
5220- f 7 0.025 0.050 0.025 37500	%All Weather Radar (Distant)
5220- f 8 0.003 0.006 0.003 4500	%All Weather Radar (Distant)
5220- f 9 0.001 0.002 0.001 1500	%All Weather Radar (Distant)
5220- g 6 1.500 3.000 1.500 2250000	%All Weather Radar (Very Distant)
5220- g 7 0.150 0.300 0.150 225000	%All Weather Radar (Very Distant)
5220- g 8 0.015 0.030 0.015 22500	%All Weather Radar (Very Distant)
5220- g 9 0.008 0.016 0.008 12000	%All Weather Radar (Very Distant)
5220- h 6 6.500 13.00 6.500 9750000	%All Weather Radar (Regional)
5220- h 7 0.650 1.300 0.650 975000	%All Weather Radar (Regional)
5220- h 8 0.065 0.130 0.065 97500	%All Weather Radar (Regional)
5220- h 9 0.033 0.066 0.033 49500	%All Weather Radar (Regional)
5220- j 6 20.00 40.00 20.00 30000000	%All Weather Radar (Continental)
5220- j 7 2.000 4.000 2.000 3000000	%All Weather Radar (Continental)
5220- j 8 0.200 0.400 0.200 300000	%All Weather Radar (Continental)
5220- j 9 0.100 0.200 0.100 150000	%All Weather Radar (Continental)
5220- k 7 5.000 10.00 5.000 7500000	%All Weather Radar (Planetary)
5220- k 8 0.500 1.000 0.500 750000	%All Weather Radar (Planetary)
5220- k 9 0.250 0.500 0.250 375000	%All Weather Radar (Planetary)
5220- l 8 1.200 2.400 1.200 1800000	%All Weather Radar (Far Orbit)
5220- l 9 0.600 1.200 0.600 900000	%All Weather Radar (Far Orbit)

# Radar Jammers [5.4 p68]
5000! 5300 6	%Radar Jammer
5300- f 6 0.5   1.0   0.5   7500000	%Radar Jammer (Distant)
5300- f 7 0.05  0.1   0.05  750000	%Radar Jammer (Distant)
5300- f 8 0.005 0.01  0.005 75000	%Radar Jammer (Distant)
5300- f 9 0.003 0.006 0.003 45000	%Radar Jammer (Distant)
5300- g 6 3.0   6.0   3.0   45000000	%Radar Jammer (Very Distant)
5300- g 7 0.3   0.6   0.3   4500000	%Radar Jammer (Very Distant)
5300- g 8 0.030 0.060 0.030 450000	%Radar Jammer (Very Distant)
5300- g 9 0.015 0.030 0.015 225000	%Radar Jammer (Very Distant)
5300- h 6 13.0  26.0  13.0  195000000	%Radar Jammer (Regional)
5300- h 7 1.3   2.6   1.3   19500000	%Radar Jammer (Regional)
5300- h 8 0.130 0.260 0.130 1950000	%Radar Jammer (Regional)
5300- h 9 0.065 0.130 0.065 975000	%Radar Jammer (Regional)
5300- j 6 40.0  80.0  40.0  600000000	%Radar Jammer (Continental)
5300- j 7 4.00  8.00  4.00  60000000	%Radar Jammer (Continental)
5300- j 8 0.400 0.800 0.400 6000000	%Radar Jammer (Continental)
5300- j 9 0.200 0.400 0.200 3000000	%Radar Jammer (Continental)
5300- k 7 10.00 20.00 10.00 150000000	%Radar Jammer (Planetary)
5300- k 8 1.000 2.000 1.000 15000000	%Radar Jammer (Planetary)
5300- k 9 0.500 1.000 0.500 7500000	%Radar Jammer (Planetary)
5300- l 8 2.400 4.800 2.400 36000000	%Radar Jammer (Far Orbit)
5300- l 9 1.200 2.400 1.200 18000000	%Radar Jammer (Far Orbit) 

# Electromagnetic Masking Package [5.5 p68]
#5000! 5400	%Electromagnetic Masking
#5400+ 0 0 *0.001 *0.02 *0.01 *5000	%Electromagnetic Masking Package
5000+ 0 0 *0.001 *0.02 *0.01 *5000	%Electromagnetic Masking Package

# Radar Direction Finder [5.6 p68]
5000! 5500 6	%Radar Direction Finder
5500- 0 6  2.500 5.000 2.500 25000000	%Radar Direction Finder
5500- 0 7  0.250 0.500 0.250 2500000	%Radar Direction FInder
5500- 0 8  0.025 0.050 0.025 250000	%Radar Direction Finder
5500- 0 9  0.013 0.026 0.013 130000	%Radar Direction Finder
5500- 0 10 0.010 0.020 0.010 100000	%Radar Direction Finder
5500- 0 12 0.005 0.010 0.005 50000	%Radar Direction Finder

# Ladar [5.7 p68]
5000! 5600 8	%Ladar
5600- f 8  0.025 0.050 0.025 250000	%Ladar (Distant)
5600- f 9  0.003 0.006 0.003 30000	%Ladar (Distant)
5600- f 10 0.001 0.002 0.001 10000	%Ladar (Distant)
5600- g 8  0.150 0.300 0.150 1500000	%Ladar (Very Distant)
5600- g 9  0.015 0.030 0.015 150000	%Ladar (Very Distant)
5600- g 10 0.010 0.020 0.010 100000	%Ladar (Very Distant)
5600- g 11 0.005 0.010 0.005 50000	%Ladar (Very Distant)
5600- h 8  0.650 1.300 0.650 6500000	%Ladar (Regional)
5600- h 9  0.065 0.130 0.065 650000	%Ladar (Regional)
5600- h 10 0.010 0.020 0.010 100000	%Ladar (Regional)
5600- h 11 0.008 0.016 0.008 80000	%Ladar (Regional)
5600- j 8  2.000 4.000 2.000 20000000	%Ladar (Continental)
5600- j 9  0.200 0.400 0.200 2000000	%Ladar (Continental)
5600- j 10 0.020 0.040 0.020 200000	%Ladar (Continental)
5600- j 11 0.010 0.020 0.010 100000	%Ladar (Continental)
5600- k 8  5.000 10.00 5.000 50000000	%Ladar (Planetary)
5600- k 9  0.500 1.000 0.500 5000000	%Ladar (Planetary)
5600- k 10 0.050 0.100 0.050 500000	%Ladar (Planetary)
5600- k 11 0.025 0.050 0.025 250000	%Ladar (Planetary)
5600- l 9  1.200 2.400 1.200 12000000	%Ladar (Far Orbit)
5600- l 10 0.120 0.240 0.120 1200000	%Ladar (Far Orbit)
5600- l 11 0.050 0.100 0.050 500000	%Ladar (Far Orbit)

# Laser Sensor [5.8 p68], Visible light and IR enhancement [5.9 p69],
# Misc Sensors [5.13 p69], Misc Devices [5.14 p69]
5000! 5700 5	%Misc Devices
5700+ 1 8  0.002 0.30  0.30  25000	%Laser Sensor (1st Generation)
5700+ 2 9  0.001 0.25  0.25  30000	%Laser Sensor (2nd Generation)
5700+ 3 11 0.001 0.15  0.20  35000	%Laser Sensor (3rd Generation)

5700+ a 5  0.001 0.002 0.001 50		%Headlight
5700+ b 6  0.003 0.010 0.005 1500	%Active IR Sensor
5700+ c 6  0.001 0.002 0.001 500	%Passive IR Sensor
5700+ d 7  0.001 0.002 0.001 500	%Light Amplification
5700+ e 8  0.001 0.002 0.001 20000	%Adv Active IR Sensor
5700+ f 8  0.002 0.010 0.005 30000	%Image Enhancement
5700+ g 9  0.001 0.002 0.001 30000	%Adv Image Enhancement
5700+ h 10 0.001 0.002 0.001 30000	%Synthetic Vision

5700+ j 5  0.001 0.002 0.001 200	%Passive Audio Sensor (Distant)
5700+ k 5  0.005 0.040 0.020 5000	%Active Audio Sensor (Pinger, Distant)
5700+ l 5  0.004 0.008 0.004 1500	%Environ Sensor
5700+ m 6  0.001 0.002 0.001 1000	%Magnetic Sensor (Very Distant)
5700+ n 6  0.001 0.002 0.001 1200	%Radiation Sensor (Very Distant)

5700+ p 8  0.001 0.001 0.001 750	%Very Light Robotic Arm
5700+ q 7  0.002 0.005 0.005 500	%Light Robotic Arm
5700+ r 6  0.005 0.020 0.020 700	%Medium Robotic Arm
5700+ s 5  0.010 0.050 0.050 1000	%Heavy Robotic Arm
5700+ t 11 0.010 0.020 0.020 1200	%Robotic Tenticle
5700+ u 7  0.003 0.004 0.004 600	%Video Recorder
5700+ v 13 0.010 0.015 0.015 2000	%Holorecorder (TL 13)
5700+ v 14 0.008 0.006 0.006 4000	%Holorecorder (TL 14)
5700+ v 15 0.005 0.003 0.003 5000	%Holorecorder (TL 15)

# Neutrino Sensor [5.11 p69]
5000! 5C00 10	%Neutrino Sensor
# Here some UCP codes have been defined for the different sensors, the
# correspondence between codes and power should be obvious.
5C00+ a 10 0.005 0.008 0.004 1000	%Neutrino Sensor (Nondiscriminant)
5C00+ b 11 0.500 1.0   0.450 60000	%Neutrino Sensor (1 Gw)
5C00+ c 12 0.400 0.8   0.300 75000	%Neutrino Sensor (1 Mw)
5C00+ d 13 0.300 0.4   0.170 90000	%Neutrino Sensor (100 kw)
5C00+ e 14 0.200 0.2   0.095 110000	%Neutrino Sensor (10 kw)
5C00- f 16 0.100 0.1   0.070 120000	%Neutrino Sensor (1 kw)
5C00- f 18 0.050 0.1   0.070 120000	%Neutrino Sensor (1 kw)
5C00- f 20 0.025 0.1   0.070 120000	%Neutrino Sensor (1 kw)

# Densitometers [5.10 p69]
5000! 5D00 10	%Densitometers
# The same comment above (defining UCP codes) should also be here.  There
# is no distinction between High and Low Penetration apart from range.
5D00- a 10 0.002 0.02 0.001 10000	%Densitometer (Surface, Low Penetration)
5D00- a 11 0.001 0.01 0.001 10000	%Densitometer (Surface, Low Penetration)
5D00+ b 12 0.200 2.0  0.8   116000	%Densitometer (1 m, Low Penetration)
5D00+ c 13 0.100 1.0  0.4   145000	%Densitometer (50 m, Low Penetration)
5D00+ d 14 0.090 0.9  0.3   175000	%Densitometer (100 m, Low Penetration)
5D00+ e 15 0.080 0.3  0.1   205000	%Densitometer (250 m, Low Penetration)
5D00+ f 16 0.070 0.2  0.1   205000	%Densitometer (1 km, Low Penetration)
5D00+ g 18 0.060 0.1  0.1   205000	%Densitometer (25 km, Low Penetration)
5D00+ h 20 0.050 0.1  0.1   205000	%Densitometer (2500 km, Low Penetration)
5D00+ b 11 2.5	 30.0 10.0  750000	%Densitometer (1 m, High Penetration)
5D00+ c 12 1.0	 15.0 5.0   900000	%Densitometer (50 m, High Penetration)
5D00+ d 13 0.9	 12.0 3.0   950000	%Densitometer (100 m, High Penetration)
5D00+ e 14 0.5	 9.0  2.0   1000000	%Densitometer (250 m, High Penetration)
5D00+ f 15 0.4	 7.0  1.5   1500000	%Densitometer (1 km, High Penetration)
5D00+ g 16 0.3	 4.0  1.0   1500000	%Densitometer (25 km, High Penetration)
5D00+ h 18 0.2	 2.0  0.8   1500000	%Densitometer (2500 km, High Penetration)
5D00+ J 20 0.1	 1.0  0.7   1500000	%Densitometer (2500000 km, High Penetration)

# Neural Activity Sensors
5000! 5B00 13	%Neural Activity Sensors
5B00+ c 13 0.004 0.002 0.005 20000	%Neural Activity Sensor (Medium)
5B00+ d 14 0.005 0.002 0.005 20000	%Neural Activity Sensor (Long)
5B00+ e 15 0.006 0.002 0.005 20000	%Neural Activity Sensor (Very Long)
5B00+ f 16 0.007 0.002 0.005 20000	%Neural Activity Sensor (Distant)
5B00+ g 18 0.009 0.002 0.004 25000	%Neural Activity Sensor (Very Distant)
5B00+ h 20 0.010 0.002 0.003 30000	%Neural Activity Sensor (Regional)

# EMS Active Array [5.15 p70]
5000! 5800 10	%EMS Active Array
5800- f 10 0.020 0.004 0.002 40000	%EMS Active Array (Distant)
5800- f 11 0.010 0.002 0.001 20000	%EMS Active Array (Distant)
5800- g 10 0.100 0.020 0.010 200000	%EMS Active Array (Very Distant)
5800- g 11 0.080 0.016 0.008 160000	%EMS Active Array (Very Distant)
5800- g 12 0.060 0.012 0.006 120000	%EMS Active Array (Very Distant)
5800- g 14 0.050 0.010 0.005 100000	%EMS Active Array (Very Distant)
5800- g 16 0.040 0.008 0.004 80000	%EMS Active Array (Very Distant)
5800- g 18 0.030 0.006 0.003 60000	%EMS Active Array (Very Distant)
5800- g 20 0.020 0.004 0.002 40000	%EMS Active Array (Very Distant)
5800- h 10 0.300 0.060 0.030 600000	%EMS Active Array (Regional)
5800- h 11 0.160 0.032 0.016 320000	%EMS Active Array (Regional)
5800- h 12 0.100 0.020 0.010 200000	%EMS Active Array (Regional)
5800- h 14 0.080 0.016 0.008 160000	%EMS Active Array (Regional)
5800- h 16 0.060 0.012 0.006 120000	%EMS Active Array (Regional)
5800- h 18 0.050 0.010 0.005 100000	%EMS Active Array (Regional)
5800- h 20 0.040 0.008 0.004 80000	%EMS Active Array (Regional)
5800- j 10 0.700 0.140 0.070 1400000	%EMS Active Array (Continental)
5800- j 11 0.300 0.060 0.030 600000	%EMS Active Array (Continental)
5800- j 12 0.160 0.032 0.016 320000	%EMS Active Array (Continental)
5800- j 14 0.100 0.020 0.010 200000	%EMS Active Array (Continental)
5800- j 16 0.080 0.016 0.008 160000	%EMS Active Array (Continental)
5800- j 18 0.060 0.012 0.006 120000	%EMS Active Array (Continental)
5800- j 20 0.050 0.010 0.005 100000	%EMS Active Array (Continental)
5800- k 10 1.300 0.260 0.130 2600000	%EMS Active Array (Planetary)
5800- k 11 0.600 0.120 0.060 1200000	%EMS Active Array (Planetary)
5800- k 12 0.250 0.050 0.025 500000	%EMS Active Array (Planetary)
5800- k 14 0.140 0.028 0.014 280000	%EMS Active Array (Planetary)
5800- k 16 0.120 0.024 0.012 240000	%EMS Active Array (Planetary)
5800- k 18 0.080 0.016 0.008 160000	%EMS Active Array (Planetary)
5800- k 20 0.060 0.012 0.006 120000	%EMS Active Array (Planetary)
5800- l 10 2.600 0.520 0.260 5200000	%EMS Active Array (Far Orbit)
5800- l 11 1.200 0.240 0.120 2400000	%EMS Active Array (Far Orbit)
5800- l 12 0.550 0.110 0.055 1100000	%EMS Active Array (Far Orbit)
5800- l 14 0.300 0.060 0.030 600000	%EMS Active Array (Far Orbit)
5800- l 16 0.200 0.040 0.020 400000	%EMS Active Array (Far Orbit)
5800- l 18 0.150 0.030 0.015 300000	%EMS Active Array (Far Orbit)
5800- l 20 0.100 0.020 0.010 200000	%EMS Active Array (Far Orbit)

# EMS Passive Array [5.16 p70]
5000! 5900 10	%EMS Passive Array
5900- g 10 0.020 0.004 0.002 40000	%EMS Passive Array (Very Distant)
5900- g 11 0.010 0.002 0.001 20000	%EMS Passive Array (Very Distant)
5900- j 10 0.140 0.028 0.014 280000	%EMS Passive Array (Continental)
5900- j 11 0.090 0.018 0.009 180000	%EMS Passive Array (Continental)
5900- j 12 0.070 0.014 0.007 140000	%EMS Passive Array (Continental)
5900- j 13 0.050 0.010 0.005 100000	%EMS Passive Array (Continental)
5900- j 14 0.040 0.008 0.004 80000	%EMS Passive Array (Continental)
5900- j 16 0.030 0.006 0.003 60000	%EMS Passive Array (Continental)
5900- j 18 0.020 0.004 0.002 40000	%EMS Passive Array (Continental)
5900- n 10 0.700 0.140 0.070 1400000	%EMS Passive Array (Interplanetary)
5900- n 11 0.250 0.050 0.025 500000	%EMS Passive Array (Interplanetary)
5900- n 12 0.150 0.030 0.015 300000	%EMS Passive Array (Interplanetary)
5900- n 13 0.090 0.018 0.009 180000	%EMS Passive Array (Interplanetary)
5900- n 14 0.070 0.014 0.007 140000	%EMS Passive Array (Interplanetary)
5900- n 16 0.050 0.010 0.005 100000	%EMS Passive Array (Interplanetary)
5900- n 18 0.040 0.008 0.004 80000	%EMS Passive Array (Interplanetary)
5900- q 10 1.300 0.260 0.130 2600000	%EMS Passive Array (Substellar)
5900- q 11 0.600 0.120 0.060 1200000	%EMS Passive Array (Substellar)
5900- q 12 0.250 0.050 0.025 500000	%EMS Passive Array (Substellar)
5900- q 13 0.150 0.030 0.015 300000	%EMS Passive Array (Substellar)
5900- q 14 0.120 0.024 0.012 240000	%EMS Passive Array (Substellar)
5900- q 16 0.090 0.018 0.009 180000	%EMS Passive Array (Substellar)
5900- q 18 0.060 0.012 0.006 120000	%EMS Passive Array (Substellar)
5900- s 10 2.500 0.500 0.250 5000000	%EMS Passive Array (Interstellar)
5900- s 11 1.200 0.240 0.120 2400000	%EMS Passive Array (Interstellar)
5900- s 12 0.500 0.100 0.050 1000000	%EMS Passive Array (Interstellar)
5900- s 13 0.200 0.040 0.020 400000	%EMS Passive Array (Interstellar)
5900- s 14 0.160 0.032 0.016 320000	%EMS Passive Array (Interstellar)
5900- s 16 0.120 0.024 0.012 240000	%EMS Passive Array (Interstellar)
5900- s 18 0.080 0.016 0.008 160000	%EMS Passive Array (Interstellar)

# EMS Jammer [5.17 p70]
5000! 5A00 10	%EMS Jammer
5A00- f 10 0.040 0.008 0.004 80000	%EMS Jammer (Distant)
5A00- f 11 0.020 0.004 0.002 40000	%EMS Jammer (Distant)
5A00- g 10 0.200 0.040 0.020 400000	%EMS Jammer (Very Distant)
5A00- g 11 0.160 0.032 0.016 320000	%EMS Jammer (Very Distant)
5A00- g 12 0.120 0.024 0.012 240000	%EMS Jammer (Very Distant)
5A00- g 14 0.100 0.020 0.010 200000	%EMS Jammer (Very Distant)
5A00- g 16 0.080 0.016 0.008 160000	%EMS Jammer (Very Distant)
5A00- g 18 0.060 0.012 0.006 120000	%EMS Jammer (Very Distant)
5A00- g 20 0.040 0.008 0.004 80000	%EMS Jammer (Very Distant)
5A00- h 10 0.600 0.120 0.060 1200000	%EMS Jammer (Regional)
5A00- h 11 0.320 0.064 0.032 640000	%EMS Jammer (Regional)
5A00- h 12 0.200 0.040 0.020 400000	%EMS Jammer (Regional)
5A00- h 14 0.160 0.032 0.016 320000	%EMS Jammer (Regional)
5A00- h 16 0.120 0.024 0.012 240000	%EMS Jammer (Regional)
5A00- h 18 0.100 0.020 0.010 200000	%EMS Jammer (Regional)
5A00- h 20 0.080 0.016 0.008 160000	%EMS Jammer (Regional)
5A00- j 10 1.400 0.280 0.140 2800000	%EMS Jammer (Continental)
5A00- j 11 0.600 0.120 0.060 1200000	%EMS Jammer (Continental)
5A00- j 12 0.320 0.064 0.032 640000	%EMS Jammer (Continental)
5A00- j 14 0.200 0.040 0.020 400000	%EMS Jammer (Continental)
5A00- j 16 0.160 0.032 0.016 320000	%EMS Jammer (Continental)
5A00- j 18 0.120 0.024 0.012 240000	%EMS Jammer (Continental)
5A00- j 20 0.100 0.020 0.010 200000	%EMS Jammer (Continental)
5A00- k 10 2.600 0.520 0.260 5200000	%EMS Jammer (Planetary)
5A00- k 11 1.200 0.240 0.120 2400000	%EMS Jammer (Planetary)
5A00- k 12 0.500 0.100 0.050 1000000	%EMS Jammer (Planetary)
5A00- k 14 0.280 0.056 0.028 560000	%EMS Jammer (Planetary)
5A00- k 16 0.240 0.048 0.024 480000	%EMS Jammer (Planetary)
5A00- k 18 0.160 0.032 0.016 320000	%EMS Jammer (Planetary)
5A00- k 20 0.120 0.024 0.012 240000	%EMS Jammer (Planetary)
5A00- l 10 5.200 1.040 0.520 10400000	%EMS Jammer (Far Orbit)
5A00- l 11 2.400 0.480 0.240 4800000	%EMS Jammer (Far Orbit)
5A00- l 12 1.100 0.220 0.110 2200000	%EMS Jammer (Far Orbit)
5A00- l 14 0.600 0.120 0.060 1200000	%EMS Jammer (Far Orbit)
5A00- l 16 0.400 0.080 0.040 800000	%EMS Jammer (Far Orbit)
5A00- l 18 0.300 0.060 0.030 600000	%EMS Jammer (Far Orbit)
5A00- l 20 0.200 0.040 0.020 400000	%EMS Jammer (Far Orbit)

# Section 6 Weapons
0000! 6000	%Weapons
# Spinal Mounts [6-2, 6-3, 6-4, 6-5 p71]
6000! 6100 8	%Spinal Mounts
# Spinal Particle Accelerators [6-2 p71]
6100! 6110 8	%Spinal Particle Accelerator
6110:+ A 8   125000  75000 18000  3500000000 55	%Spinal Particle Accelerator
6110:+ B 9   125000  65000 16000  3000000000 50	%Spinal Particle Accelerator
6110:+ C 10  125000  60000 15000  2400000000 45	%Spinal Particle Accelerator
6110:+ D 11  150000  55000 14000  1500000000 40	%Spinal Particle Accelerator
6110:+ E 12  150000  45000 11000  1200000000 35	%Spinal Particle Accelerator
6110:+ F 13  150000  40000 10000  1200000000 30	%Spinal Particle Accelerator
6110:+ G 14  175000  35000  9000   800000000 25	%Spinal Particle Accelerator
6110:+ H 15  175000  35000  8500   500000000 25	%Spinal Particle Accelerator
6110:+ J 10  200000  60000 15500  3000000000 50	%Spinal Particle Accelerator
6110:+ K 11  200000  60000 14500  2000000000 45	%Spinal Particle Accelerator
6110:+ L 12  200000  55000 13500  1600000000 40	%Spinal Particle Accelerator
6110:+ M 13  225000  45000 10500  1200000000 35	%Spinal Particle Accelerator
6110:+ N 14  225000  40000  9500  1000000000 30	%Spinal Particle Accelerator
6110:+ P 15  225000  35000  8000   800000000 25	%Spinal Particle Accelerator
6110:+ Q 12  250000  60000 14000  2000000000 45	%Spinal Particle Accelerator
6110:+ R 13  250000  55000 13000  1500000000 40	%Spinal Particle Accelerator
6110:+ S 14  250000  45000 10000  1200000000 35	%Spinal Particle Accelerator
6110:+ T 15  250000  40000  9000  1000000000 30	%Spinal Particle Accelerator
6110:+ U 16  275000  35000  8000  1000000000 25	%Spinal Particle Accelerator
6110:+ V 17  275000  25000  6000   800000000 20	%Spinal Particle Accelerator
6110:+ W 18  275000  20000  5000   600000000 15	%Spinal Particle Accelerator
6110:+ X 17  300000  30000  7000  1000000000 25	%Spinal Particle Accelerator
6110:+ Y 18  300000  15000  3500   800000000 10	%Spinal Particle Accelerator
6110:+ Z 19  325000  15000  3000   600000000 10	%Spinal Particle Accelerator

# Spinal Meson Guns [6-3 p71 + lots of errata]
6100! 6120 11	%Spinal Meson Guns
6120:+ A 11  125000  65000 13000 10000000000 50	%Spinal Meson Gun
6120:+ B 11  150000 110000 22000 12000000000 80	%Spinal Meson Gun
6120:+ C 12  150000  25000  5000  3000000000 20	%Spinal Meson Gun
6120:+ D 12  175000  65000 12500  5000000000 50	%Spinal Meson Gun
6120:+ E 13  175000  15000  3000   800000000 10	%Spinal Meson Gun
6120:+ F 13  200000  25000 45000  1000000000 20	%Spinal Meson Gun
6120:+ G 14  200000  15000  3000   400000000 10	%Spinal Meson Gun
6120:+ H 14  225000  25000  4500   600000000 20	%Spinal Meson Gun
6120:+ J 15  225000  15000  3000   400000000 10	%Spinal Meson Gun
6120:+ K 12  250000  11000 20000 10000000000 80	%Spinal Meson Gun
6120:+ L 13  250000  65000 12500  3000000000 50	%Spinal Meson Gun
6120:+ M 14  250000  55000 11000   800000000 40	%Spinal Meson Gun
6120:+ N 15  250000  25000  4000   600000000 20	%Spinal Meson Gun
6120:+ P 13  275000 110000 19000  5000000000 80	%Spinal Meson Gun
6120:+ Q 14  275000  95000 19000  1000000000 70	%Spinal Meson Gun
6120:+ R 15  275000  65000 12000   800000000 50	%Spinal Meson Gun
6120:+ S 14  300000 110000 19000  2000000000 80	%Spinal Meson Gun
6120:+ T 15  300000  95000 18000  1000000000 70	%Spinal Meson Gun
6120:+ U 16  325000 110000 18500  2000000000 80	%Spinal Meson Gun
6120:+ V 17  325000  95000 17500  1200000000 70	%Spinal Meson Gun
6120:+ W 18  325000  65000 11500  1000000000 50	%Spinal Meson Gun
6120:+ X 17  350000 110000 18000  2000000000 80	%Spinal Meson Gun
6120:+ Y 18  350000  95000 17000  1200000000 70	%Spinal Meson Gun
6120:+ Z 19  375000  65000 11000   800000000 50	%Spinal Meson Gun

# Spinal Disintegrators [6-4 p71]
6100! 6130 17	%Spinal Disintegrators
6130:+ A 17  500000  60000 13000  5000000000 45	%Spinal Disintegrator
6130:+ B 18  550000  55000 12000  3500000000 40	%Spinal Disintegrator
6130:+ C 19  550000  45000 10000  2400000000 35	%Spinal Disintegrator
6130:+ D 20  575000  40000  8500  1500000000 30	%Spinal Disintegrator
6130:+ E 21  575000  35000  7500  1200000000 25	%Spinal Disintegrator

# Spinal Jump Projectors [6-5 p71]
6100! 6140 21	%Spinal Jump Projectors
6140:+ A 21 8000000  55000 15000  1000000000 40	%Spinal Jump Projector
6140:+ B 21 9500000  95000 25000  1200000000 70	%Spinal Jump Projector

6000! 6200	%100 Ton Bay
6000! 6300	%50 Ton Bay
# Bays [6-6, 6-7, 6-8 p72]
6200! 6210 8	%100 Ton Missile Bay
6210- 7 8  5	  1350 50 21000000  10	%100 Ton Missile Bay
6210* 7 10	%null
6210- 8 10 5	  1350 50 21000000  10	%100 Ton Missile Bay
6210* 8 12	%null
6210- 9 12 5	  1350 50 21000000  10	%100 Ton Missile Bay
6210* 9 14	%null
6210- A 14 5	  1350 50 21000000  10	%100 Ton Missile Bay
6210* A 16	%null
6210- B 16 5	  1350 50 21000000  10	%100 Ton Missile Bay
6210* B 18	%null
6210- C 18 5	  1350 50 21000000  10	%100 Ton Missile Bay
6210* C 20	%null
6210- D 20 5	  1350 50 21000000  10	%100 Ton Missile Bay

6200! 6220 8	%100 Ton Particle Accelerator Bay
6220- 6 8  15000  1350 75 36000000  10	%100 Ton Particle Accelerator Bay
6220- 6 10 15000  1350 75 36000000  10	%100 Ton Particle Accelerator Bay
6220* 6 12	%null
6220- 7 12 15000  1350 75 36000000  10	%100 Ton Particle Accelerator Bay
6220* 7 14	%null
6220- 8 14 15000  1350 75 36000000  10	%100 Ton Particle Accelerator Bay
6220* 8 16	%null
6220- 9 16 15000  1350 75 36000000  10	%100 Ton Particle Accelerator Bay
6220* 9 18	%null
6220- A 18 15000  1350 75 36000000  10	%100 Ton Particle Accelerator Bay
6220* A 20	%null
6220- B 20 15000  1350 75 36000000  10	%100 Ton Particle Accelerator Bay

6200! 6230 10	%100 Ton Repulsor Bay
6230- 2 10 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* 2 11	%null
6230- 4 11 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* 4 12	%null
6230- 6 12 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* 6 13	%null
6230- 7 13 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* 7 14	%null
6230- 8 14 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* 8 15	%null
6230- 9 15 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* 9 16	%null
6230- A 16 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* A 17	%null
6230- B 17 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* B 18	%null
6230- C 18 2500   1350 60 11000000  10	%100 Ton Repulsor Bay
6230* C 19	%null
